,Energy,Error,Architecture,Method,cost
170,0.076808183908749,0.311084259411651,MobileNet,PESMO,0
171,0.073618507002009,0.33708674515688,MobileNet,PESMO,0
172,0.060233323910735,0.419689988562037,MobileNet,PESMO,0
173,0.047149918634589,0.438613122787433,MobileNet,PESMO,0
174,0.110244401830531,0.200537940554478,MobileNet,ParEGO,0
175,0.104449503785593,0.203721490779264,MobileNet,ParEGO,0
176,0.095720866980923,0.222368621455892,MobileNet,ParEGO,0
177,0.086098356647898,0.223686214558916,MobileNet,ParEGO,0
178,0.069554056428631,0.23519112293532,MobileNet,ParEGO,0
179,0.067518011169599,0.251473605823255,MobileNet,ParEGO,0
180,0.056753329105897,0.289290824132182,MobileNet,ParEGO,0
181,0.055290279698375,0.325331691870735,MobileNet,ParEGO,0
182,0.048884186078493,0.338977014075185,MobileNet,ParEGO,0
183,0.141411556180334,0.233655928840829,MobileNet,SMSEGO,0
184,0.184661283052311,0.233700105717362,MobileNet,SMSEGO,0
185,0.139096652940233,0.24708674515688,MobileNet,SMSEGO,0
186,0.081464730195353,0.251598658477933,MobileNet,SMSEGO,0
187,0.078546271324996,0.264686184846073,MobileNet,SMSEGO,0
188,0.076808183908749,0.271084259411651,MobileNet,SMSEGO,0
189,0.073618507002009,0.28708674515688,MobileNet,SMSEGO,0
190,0.060233323910735,0.326899885620367,MobileNet,SMSEGO,0
191,0.047149918634589,0.338613122787433,MobileNet,SMSEGO,0
192,0.28827425009739,0.173794055447821,ResNet,FlexiBO+GP,0
193,0.263121372848681,0.183721490779264,ResNet,FlexiBO+GP,0
194,0.240297164204449,0.196862145589165,ResNet,FlexiBO+GP,0
195,0.225135596775644,0.206862145589165,ResNet,FlexiBO+GP,0
196,0.181874481835526,0.211911229353196,ResNet,FlexiBO+GP,0
197,0.176550497937331,0.251473605823255,ResNet,FlexiBO+GP,0
198,0.168402305394904,0.319290824132182,ResNet,FlexiBO+GP,0
199,0.154576628409897,0.325331691870735,ResNet,FlexiBO+GP,0
200,0.127825557120454,0.338977014075185,ResNet,FlexiBO+GP,0
201,0.482864363269506,0.190370010571736,ResNet,FlexiBO+RF,0
202,0.319772157462069,0.203365592884083,ResNet,FlexiBO+RF,0
203,0.299371899753279,0.219370867451569,ResNet,FlexiBO+RF,0
204,0.213019288204329,0.220915986584779,ResNet,FlexiBO+RF,0
205,0.205387911659824,0.223346861848461,ResNet,FlexiBO+RF,0
206,0.200843047356487,0.232110842594117,ResNet,FlexiBO+RF,0
207,0.192502472206407,0.23708674515688,ResNet,FlexiBO+RF,0
208,0.137502022714333,0.256899885620367,ResNet,FlexiBO+RF,0
209,0.123290681529871,0.363861312278743,ResNet,FlexiBO+RF,0
210,0.33827425009739,0.167379405544782,ResNet,Log-FlexiBO+GP,0
211,0.303121372848681,0.168372149077926,ResNet,Log-FlexiBO+GP,0
