,Architecture,Method,Contribution
151,DeepSpeech,FlexiBO + GP (Actual),0.4928374295318081
152,DeepSpeech,FlexiBO + GP (Actual),0.4739900152060082
153,DeepSpeech,FlexiBO + GP (Actual),0.510583822940304
154,DeepSpeech,FlexiBO + GP (Actual),0.5122532586881525
155,DeepSpeech,FlexiBO + GP (Opt),0.7519686262458771
156,DeepSpeech,FlexiBO + GP (Opt),0.7951656542296611
157,DeepSpeech,FlexiBO + GP (Opt),0.7712150030404692
158,DeepSpeech,FlexiBO + GP (Opt),0.8021422233803297
159,DeepSpeech,FlexiBO + GP (Opt),0.7481189505593794
160,DeepSpeech,FlexiBO + GP (Pess),0.6472654104767849
161,DeepSpeech,FlexiBO + GP (Pess),0.616270415731717
162,DeepSpeech,FlexiBO + GP (Pess),0.6506285680294662
163,DeepSpeech,FlexiBO + GP (Pess),0.6709097122550327
164,DeepSpeech,FlexiBO + GP (Pess),0.6468040188810434
165,DeepSpeech,FlexiBO + RF (Actual),0.4297748102355609
166,DeepSpeech,FlexiBO + RF (Actual),0.4578465241079607
167,DeepSpeech,FlexiBO + RF (Actual),0.4244544916811144
168,DeepSpeech,FlexiBO + RF (Actual),0.4531398230172329
169,DeepSpeech,FlexiBO + RF (Actual),0.4238388299178876
170,DeepSpeech,FlexiBO + RF (Opt),0.658208696069426
171,DeepSpeech,FlexiBO + RF (Opt),0.6615302904587065
172,DeepSpeech,FlexiBO + RF (Opt),0.7009702832201605
173,DeepSpeech,FlexiBO + RF (Opt),0.6703910501041037
174,DeepSpeech,FlexiBO + RF (Opt),0.6693724847296395
175,DeepSpeech,FlexiBO + RF (Pess),0.6161924448598834
176,DeepSpeech,FlexiBO + RF (Pess),0.6449144464446326
177,DeepSpeech,FlexiBO + RF (Pess),0.613008293707223
178,DeepSpeech,FlexiBO + RF (Pess),0.6359160867595327
179,DeepSpeech,FlexiBO + RF (Pess),0.6344392738752831
180,BERT-SQuAD,FlexiBO + GP (Actual),0.4210119081805886
181,BERT-SQuAD,FlexiBO + GP (Actual),0.4174261816430532
182,BERT-SQuAD,FlexiBO + GP (Actual),0.3952962033905853
183,BERT-SQuAD,FlexiBO + GP (Actual),0.39804888720702253
184,BERT-SQuAD,FlexiBO + GP (Actual),0.4024987987474754
185,BERT-SQuAD,FlexiBO + GP (Opt),0.6659288957209668
186,BERT-SQuAD,FlexiBO + GP (Opt),0.6936577884766644
187,BERT-SQuAD,FlexiBO + GP (Opt),0.6676910135357096
188,BERT-SQuAD,FlexiBO + GP (Opt),0.6731791059334056
189,BERT-SQuAD,FlexiBO + GP (Opt),0.667513064051624
190,BERT-SQuAD,FlexiBO + GP (Pess),0.5509477907250009
191,BERT-SQuAD,FlexiBO + GP (Pess),0.5381208041667128
192,BERT-SQuAD,FlexiBO + GP (Pess),0.5537103096196363
193,BERT-SQuAD,FlexiBO + GP (Pess),0.5514285902508621
194,BERT-SQuAD,FlexiBO + GP (Pess),0.5177228354265442
195,BERT-SQuAD,FlexiBO + RF (Actual),0.37808562559281816
196,BERT-SQuAD,FlexiBO + RF (Actual),0.3702514406219751
197,BERT-SQuAD,FlexiBO + RF (Actual),0.3699229374731829
198,BERT-SQuAD,FlexiBO + RF (Actual),0.3874430655439767
199,BERT-SQuAD,FlexiBO + RF (Actual),0.3858384358702302
200,BERT-SQuAD,FlexiBO + RF (Opt),0.5949739023241091
201,BERT-SQuAD,FlexiBO + RF (Opt),0.5798435330960757
202,BERT-SQuAD,FlexiBO + RF (Opt),0.5826030140516256
203,BERT-SQuAD,FlexiBO + RF (Opt),0.5687521633796317
204,BERT-SQuAD,FlexiBO + RF (Opt),0.5877086242539987
205,BERT-SQuAD,FlexiBO + RF (Pess),0.5542768393490071
206,BERT-SQuAD,FlexiBO + RF (Pess),0.537008545003714
207,BERT-SQuAD,FlexiBO + RF (Pess),0.5311868884020986
208,BERT-SQuAD,FlexiBO + RF (Pess),0.5081835653678247
209,BERT-SQuAD,FlexiBO + RF (Pess),0.5098008231193119
210,BERT-IMDB,FlexiBO + GP (Actual),0.4613118656773454
211,BERT-IMDB,FlexiBO + GP (Actual),0.461400490737947
212,BERT-IMDB,FlexiBO + GP (Actual),0.4177025695118025
213,BERT-IMDB,FlexiBO + GP (Actual),0.470653978226921
214,BERT-IMDB,FlexiBO + GP (Actual),0.4342175025975116
215,BERT-IMDB,FlexiBO + GP (Opt),0.6709814132234929
216,BERT-IMDB,FlexiBO + GP (Opt),0.6948410731717742
217,BERT-IMDB,FlexiBO + GP (Opt),0.6858806111341091
218,BERT-IMDB,FlexiBO + GP (Opt),0.7055883725540079
219,BERT-IMDB,FlexiBO + GP (Opt),0.6700017928870811
220,BERT-IMDB,FlexiBO + GP (Pess),0.5935989991330429
221,BERT-IMDB,FlexiBO + GP (Pess),0.5618835938052695
222,BERT-IMDB,FlexiBO + GP (Pess),0.5497169633237083
223,BERT-IMDB,FlexiBO + GP (Pess),0.5967763950443675
224,BERT-IMDB,FlexiBO + GP (Pess),0.5772622921363313
225,BERT-IMDB,FlexiBO + RF (Actual),0.3740763182476112
226,BERT-IMDB,FlexiBO + RF (Actual),0.3599848755084126
227,BERT-IMDB,FlexiBO + RF (Actual),0.3693781672879107
228,BERT-IMDB,FlexiBO + RF (Actual),0.38434379107875977
229,BERT-IMDB,FlexiBO + RF (Actual),0.3890020960736773
230,BERT-IMDB,FlexiBO + RF (Opt),0.5877289754717079
231,BERT-IMDB,FlexiBO + RF (Opt),0.5958716231308435
232,BERT-IMDB,FlexiBO + RF (Opt),0.5952852505846038
233,BERT-IMDB,FlexiBO + RF (Opt),0.5775234992450405
234,BERT-IMDB,FlexiBO + RF (Opt),0.5845465799272962
235,BERT-IMDB,FlexiBO + RF (Pess),0.5658749818909727
236,BERT-IMDB,FlexiBO + RF (Pess),0.5625666346726882
237,BERT-IMDB,FlexiBO + RF (Pess),0.5560117420158269
238,BERT-IMDB,FlexiBO + RF (Pess),0.5524531629319956
239,BERT-IMDB,FlexiBO + RF (Pess),0.5338339255522265
