,Unnamed: 0,model_name,sample,size,system_name,config_name,core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time,power_consumption,number_of_cores
128,128,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config128,1,0,0,0,499200,1,1300500000,1,1062400000,0.6727670298682319,2531.6666666666665,1
129,129,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config129,1,0,0,0,499200,1,1300500000,1,1331200000,0.6703701549106174,2700.777777777778,1
130,130,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config130,1,0,0,0,499200,1,1300500000,1,1600000000,0.6297560003068712,2666.444444444445,1
131,131,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config131,1,0,0,0,499200,1,1300500000,1,1866000000,0.6128489971160889,2657.3333333333335,1
132,132,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config132,1,0,0,0,499200,1,140250000,1,1062400000,1.091576920615302,1616.888888888889,1
133,133,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config133,1,0,0,0,499200,1,140250000,1,1331200000,1.0640621185302734,1659.111111111111,1
134,134,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config134,1,0,0,0,499200,1,140250000,1,1600000000,1.0560681025187175,1658.111111111111,1
135,135,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config135,1,0,0,0,499200,1,140250000,1,1866000000,1.050615628560384,1691.888888888889,1
136,136,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config136,1,0,0,0,499200,1,497250000,1,1062400000,0.6664948728349473,1413.7777777777776,1
137,137,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config137,1,0,0,0,499200,1,497250000,1,1331200000,0.6631525092654758,1524.0,1
138,138,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config138,1,0,0,0,499200,1,497250000,1,1600000000,0.6228683259752061,1472.888888888889,1
139,139,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config139,1,0,0,0,499200,1,497250000,1,1866000000,0.6074526839786105,1515.111111111111,1
140,140,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config140,1,0,0,0,499200,1,943500000,1,1062400000,0.6537872155507406,1710.0,1
141,141,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config141,1,0,0,0,499200,1,943500000,1,1331200000,0.6518559455871582,1828.4444444444446,1
142,142,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config142,1,0,0,0,499200,1,943500000,1,1600000000,0.6521981292300754,1853.888888888889,1
143,143,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config143,1,0,0,0,499200,1,943500000,1,1866000000,0.627281109491984,1861.7777777777774,1
144,144,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config144,1,0,0,0,652800,1,1300500000,1,1062400000,0.5109666983286539,2725.777777777778,1
145,145,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config145,1,0,0,0,652800,1,1300500000,1,1331200000,0.4637411700354682,2632.555555555555,1
146,146,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config146,1,0,0,0,652800,1,1300500000,1,1600000000,0.4454379081726074,2928.666666666666,1
147,147,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config147,1,0,0,0,652800,1,1300500000,1,1866000000,0.3848632441626655,2470.555555555555,1
148,148,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config148,1,0,0,0,652800,1,140250000,1,1062400000,1.0117989116244843,1863.666666666667,1
149,149,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config149,1,0,0,0,652800,1,140250000,1,1331200000,1.0281581613752575,2015.333333333333,1
150,150,inceptionv3,ILSVRC2017_test_00002118.JPEG,400x400,TX2,Config150,1,0,0,0,652800,1,140250000,1,1600000000,1.0298628012339277,2208.0,1
